ch1_1,ch2_1,ch3_1,ch4_1,ch5_1,ch6_1,ch7_1,ch8_1,ch9_1,ch10_1,ch11_1,ch12_1,hKey_1,ch1_2,ch2_2,ch3_2,ch4_2,ch5_2,ch6_2,ch7_2,ch8_2,ch9_2,ch10_2,ch11_2,ch12_2,hKey_2,counter,temp,wIdx,rIdx,tailsymb,file_index,timestamp,packet_len
2110.519409,2071.456909,1973.800659,1993.331909,1680.06897,1387.10022,1445.69397,2383.956909,840.2252197,3848.03772,2930.831909,4473.03772,0,2110.519409,2110.519409,1973.800659,1993.331909,1621.47522,1035.53772,1367.56897,2403.488159,586.3189697,3730.85022,2950.363159,4453.50647,0,3634307104,627.4414063,32261,14343,3a3a,0,,64
2071.456909,2090.988159,1934.738159,1954.269409,1601.94397,1269.91272,1504.28772,2383.956909,937.8814697,3789.44397,2930.831909,4570.69397,0,2130.050659,2071.456909,1973.800659,1973.800659,1523.81897,1406.63147,1445.69397,2383.956909,801.1627197,3808.97522,2930.831909,4453.50647,0,3667861536,627.4414063,40453,30727,3a3a,0,,64
2110.519409,2090.988159,2012.863159,2012.863159,1601.94397,1250.38147,1406.63147,2403.488159,644.9127197,3594.13147,2911.300659,4453.50647,0,2090.988159,2071.456909,2012.863159,1993.331909,1816.78772,1191.78772,1387.10022,2364.425659,1016.00647,3594.13147,2872.238159,4531.63147,0,3701415968,627.4414063,48645,30727,3a3a,0,,64
2071.456909,2090.988159,1993.331909,1993.331909,1601.94397,1308.97522,1465.22522,2403.488159,898.8189697,3769.91272,2911.300659,4512.10022,0,2090.988159,2071.456909,1993.331909,1973.800659,1738.66272,1308.97522,1601.94397,2344.894409,898.8189697,3574.60022,2872.238159,4453.50647,0,3734970400,627.4414063,56837,30727,3a3a,0,,64
2110.519409,2032.394409,2051.925659,2051.925659,1484.75647,1269.91272,1504.28772,2423.019409,683.9752197,3711.31897,2911.300659,4433.97522,0,2071.456909,2012.863159,1954.269409,1973.800659,1543.35022,1230.85022,1230.85022,2442.550659,605.8502197,3574.60022,2891.769409,4512.10022,0,3768524832,627.4414063,65029,30727,3a3a,0,,64
2110.519409,2051.925659,1993.331909,1993.331909,1699.60022,1367.56897,1484.75647,2383.956909,918.3502197,3633.19397,2872.238159,4492.56897,0,2071.456909,2071.456909,1993.331909,2012.863159,1641.00647,976.9439697,1406.63147,2364.425659,664.4439697,3691.78772,2911.300659,4492.56897,0,3802079264,627.4414063,7686,30727,3a3a,0,,64
2071.456909,2090.988159,1993.331909,1993.331909,1601.94397,1172.25647,1621.47522,2364.425659,898.8189697,3848.03772,2891.769409,4512.10022,0,2090.988159,2090.988159,1973.800659,1993.331909,1543.35022,1172.25647,1269.91272,2383.956909,644.9127197,3652.72522,2911.300659,4492.56897,0,3835633696,627.4414063,15878,30727,3a3a,0,,64
2110.519409,2110.519409,1954.269409,1954.269409,1621.47522,1308.97522,1387.10022,2403.488159,742.5689697,3672.25647,2911.300659,4551.16272,0,2130.050659,2051.925659,1934.738159,1934.738159,1660.53772,1191.78772,1465.22522,2423.019409,703.5064697,3808.97522,2950.363159,4512.10022,0,3869188128,627.4414063,24070,47111,3a3a,0,,64
2071.456909,2032.394409,1915.206909,1973.800659,1621.47522,1289.44397,1348.03772,2462.081909,644.9127197,3691.78772,2911.300659,4512.10022,0,2032.394409,2071.456909,2012.863159,2012.863159,1562.88147,1367.56897,1543.35022,2403.488159,742.5689697,3652.72522,2852.706909,4531.63147,0,3902742560,627.4414063,32262,63495,3a3a,0,,64
2149.581909,2012.863159,1973.800659,1993.331909,1562.88147,1230.85022,1308.97522,2383.956909,586.3189697,3574.60022,2911.300659,4551.16272,0,2071.456909,2032.394409,1954.269409,1954.269409,1601.94397,1387.10022,1543.35022,2383.956909,820.6939697,3711.31897,2930.831909,4512.10022,0,3936296992,627.4414063,40454,14368,3a3a,0,,64
