c1_a1,c1_a3,c1_a4,c1_a5,c1_a6,c1_a7,c1_a8,c1_a9,c1_aA,c1_aD,c1_aE,c1_aF,c2_a1,c2_a3,c2_a4,c2_a5,c2_a6,c2_a7,c2_a8,c2_a9,c2_aA,c2_aD,c2_aE,c2_aF,c3_a1,c3_a3,c3_a4,c3_a5,c3_a6,c3_a7,c3_a8,c3_a9,c3_aA,c4_a4,c4_a3,c4_aE,c4_a5,c4_a8,c4_a9,c4_aF,c5_a4,c5_a5,c5_aD,c5_aE,c6_a5,c6_a4,c6_aE,c6_aD,c7_a4,c7_a5,c7_aE,c7_aD,encoder_counter,mo1,mo2,counter,wIdx,rIdx,tailsymb,file_index,timestamp,packet_len
2970.19958496094,,,,,,,,,,,,1897.35412597656,,,,,,,,,,,,2.6702880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.615234375,32,0,,,,,0,,200
,1130.21850585938,,,,,,,,,,,,2021.94213867187,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,194.4140625,0,16,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,1016,419280,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,209.267578125,0,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,223.330078125,0,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.7109375,0,16,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,252.509765625,0,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.36328125,0,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,281.25,32,16,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,92,419340,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,295.927734375,32,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,310.166015625,32,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.1953125,32,16,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,339.43359375,32,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.84765625,32,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,8.173828125,0,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,192,419400,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,22.060546875,0,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,36.826171875,0,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.064453125,0,0,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,66.005859375,0,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.244140625,0,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,95.09765625,32,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,292,419460,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,108.984375,32,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,124.013671875,32,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.076171875,32,0,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,152.9296875,32,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.904296875,32,0,,,,,0,,200
